"Rk_name","Rk_Pk","Rk_Pk_url","Rk_Tm","Rk_Tm_url","Rk_Player","Rk_Player_url","Rk_College","Rk_College_url","Rk_Yrs","Rk_G","Rk_MP","Rk_PTS","Rk_TRB","Rk_AST","Rk_FG","Rk__3P","Rk_FT","Rk_WS","Rk_WS_48","Rk_BPM","Rk_VOBR"
"11","11","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=11&pick_overall_max=11&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","DEN","https://www.basketball-reference.com/teams/DEN/draft.html","Doug McDermott","https://www.basketball-reference.com/players/m/mcderdo01.html","Creighton","https://www.basketball-reference.com/friv/draft.fcgi?college=creighton","6","410","19.9","8.2","2.2","0.8",".465",".412",".825","13.9",".082","-2.0","-0.1"
"12","12","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=12&pick_overall_max=12&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","ORL","https://www.basketball-reference.com/teams/ORL/draft.html","Dario Šarić","https://www.basketball-reference.com/players/s/saricda01.html","","","4","306","26.5","12.2","6.2","2.1",".441",".358",".837","14.7",".087","-0.7","2.6"
"13","13","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=13&pick_overall_max=13&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIN","https://www.basketball-reference.com/teams/MIN/draft.html","Zach LaVine","https://www.basketball-reference.com/players/l/lavinza01.html","UCLA","https://www.basketball-reference.com/friv/draft.fcgi?college=ucla","6","353","30.8","17.7","3.6","3.6",".447",".375",".819","12.0",".053","-0.6","3.8"
"14","14","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=14&pick_overall_max=14&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHO","https://www.basketball-reference.com/teams/PHO/draft.html","T.J. Warren","https://www.basketball-reference.com/players/w/warretj01.html","NC State","https://www.basketball-reference.com/friv/draft.fcgi?college=ncstate","6","328","28.8","15.5","4.1","1.2",".507",".361",".779","19.5",".099","-0.2","4.3"
"15","15","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=15&pick_overall_max=15&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","ATL","https://www.basketball-reference.com/teams/ATL/draft.html","Adreian Payne","https://www.basketball-reference.com/players/p/paynead01.html","Michigan State","https://www.basketball-reference.com/friv/draft.fcgi?college=michiganst","4","107","13.1","4.0","2.9","0.6",".406",".254",".680","-0.6","-.019","-5.9","-1.4"
"16","16","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=16&pick_overall_max=16&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CHI","https://www.basketball-reference.com/teams/CHI/draft.html","Jusuf Nurkić","https://www.basketball-reference.com/players/n/nurkiju01.html","","","6","318","23.1","11.8","8.1","2.0",".492",".096",".673","17.3",".113","0.3","4.2"
"17","17","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=17&pick_overall_max=17&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","BOS","https://www.basketball-reference.com/teams/BOS/draft.html","James Young","https://www.basketball-reference.com/players/y/youngja01.html","Kentucky","https://www.basketball-reference.com/friv/draft.fcgi?college=kentucky","4","95","8.5","2.3","1.0","0.3",".367",".277",".563","0.8",".046","-3.4","-0.3"
"18","18","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=18&pick_overall_max=18&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHO","https://www.basketball-reference.com/teams/PHO/draft.html","Tyler Ennis","https://www.basketball-reference.com/players/e/ennisty01.html","Syracuse","https://www.basketball-reference.com/friv/draft.fcgi?college=syracuse","4","186","12.6","4.2","1.3","1.9",".419",".317",".768","1.3",".026","-3.4","-0.8"
"19","19","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=19&pick_overall_max=19&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CHI","https://www.basketball-reference.com/teams/CHI/draft.html","Gary Harris","https://www.basketball-reference.com/players/h/harriga01.html","Michigan State","https://www.basketball-reference.com/friv/draft.fcgi?college=michiganst","6","368","29.0","12.1","2.6","2.1",".454",".360",".803","17.9",".081","-0.9","2.9"
"20","20","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=20&pick_overall_max=20&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","TOR","https://www.basketball-reference.com/teams/TOR/draft.html","Bruno Caboclo","https://www.basketball-reference.com/players/c/cabocbr01.html","","","6","99","12.7","4.3","2.6","0.7",".400",".316",".846","1.5",".058","-2.5","-0.2"
"21","21","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=21&pick_overall_max=21&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","OKC","https://www.basketball-reference.com/teams/OKC/draft.html","Mitch McGary","https://www.basketball-reference.com/players/m/mcgarmi01.html","Michigan","https://www.basketball-reference.com/friv/draft.fcgi?college=michigan","2","52","10.7","4.4","3.5","0.3",".527",".000",".580","1.3",".108","-2.6","-0.1"
"22","22","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=22&pick_overall_max=22&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MEM","https://www.basketball-reference.com/teams/MEM/draft.html","Jordan Adams","https://www.basketball-reference.com/players/a/adamsjo01.html","UCLA","https://www.basketball-reference.com/friv/draft.fcgi?college=ucla","2","32","8.2","3.2","0.9","0.6",".402",".385",".607","0.4",".070","1.7","0.2"
"23","23","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=23&pick_overall_max=23&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","UTA","https://www.basketball-reference.com/teams/UTA/draft.html","Rodney Hood","https://www.basketball-reference.com/players/h/hoodro01.html","Duke","https://www.basketball-reference.com/friv/draft.fcgi?college=duke","6","341","27.3","12.5","2.9","1.9",".426",".372",".839","17.1",".088","-0.5","3.4"
"24","24","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=24&pick_overall_max=24&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CHH","https://www.basketball-reference.com/teams/CHA/draft.html","Shabazz Napier","https://www.basketball-reference.com/players/n/napiesh01.html","UConn","https://www.basketball-reference.com/friv/draft.fcgi?college=uconn","6","345","17.4","7.1","1.9","2.5",".397",".345",".815","8.1",".065","-0.7","2.0"
